Date : 2026-08-06 22:41:39
Directory : c:\First Person Shooter
Total : 415 files,  51805 codes, 19573 comments, 11179 blanks, all 82557 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\First Person Shooter\Libarys\include\glm\detail\func_vector_relational.inl      | C++                |         78 |          0 |         10 |         88 |
| c:\First Person Shooter\Libarys\include\glm\detail\func_vector_relational_simd.inl | C++                |          5 |          0 |          2 |          7 |
| c:\First Person Shooter\Libarys\include\glm\detail\glm.cpp                         | C++                |        198 |         17 |         49 |        264 |
| c:\First Person Shooter\Libarys\include\glm\detail\qualifier.hpp                   | C++                |        196 |          1 |         34 |        231 |
| c:\First Person Shooter\Libarys\include\glm\detail\setup.hpp                       | C++                |        861 |        108 |        167 |      1,136 |
| c:\First Person Shooter\Libarys\include\glm\detail\type_float.hpp                  | C++                |         51 |          3 |         15 |         69 |
| c:\First Person Shooter\Libarys\include\glm\detail\type_half.hpp                   | C++                |         11 |          0 |          6 |         17 |
| c:\First Person Shooter\Libarys\include\glm\detail\type_half.inl                   | C++                |        121 |         80 |         41 |        242 |
| c:\First Person Shooter\Libarys\include\glm\detail\type_mat2x2.hpp                 | C++                |        120 |         11 |         47 |        178 |
| c:\First Person Shooter\Libarys\include\glm\detail\type_mat2x2.inl                 | C++                |        465 |          9 |         63 |        537 |
| c:\First Person Shooter\Libarys\include\glm\detail\type_mat2x3.hpp                 | C++                |        107 |         11 |         42 |        160 |
| c:\First Person Shooter\Libarys\include\glm\detail\type_mat2x3.inl                 | C++                |        445 |          9 |         57 |        511 |
| c:\First Person Shooter\Libarys\include\glm\detail\type_mat2x4.hpp                 | C++                |        109 |         11 |         42 |        162 |
| c:\First Person Shooter\Libarys\include\glm\detail\type_mat2x4.inl                 | C++                |        455 |          9 |         57 |        521 |
| c:\First Person Shooter\Libarys\include\glm\detail\type_mat3x2.hpp                 | C++                |        114 |         11 |         43 |        168 |
| c:\First Person Shooter\Libarys\include\glm\detail\type_mat3x2.inl                 | C++                |        467 |          9 |         57 |        533 |
| c:\First Person Shooter\Libarys\include\glm\detail\type_mat3x3.hpp                 | C++                |        127 |         11 |         47 |        185 |
| c:\First Person Shooter\Libarys\include\glm\detail\type_mat3x3.inl                 | C++                |        528 |          9 |         65 |        602 |
| c:\First Person Shooter\Libarys\include\glm\detail\type_mat3x4.hpp                 | C++                |        114 |         11 |         42 |        167 |
| c:\First Person Shooter\Libarys\include\glm\detail\type_mat3x4.inl                 | C++                |        513 |          9 |         57 |        579 |
| c:\First Person Shooter\Libarys\include\glm\detail\type_mat4x2.hpp                 | C++                |        119 |         11 |         42 |        172 |
| c:\First Person Shooter\Libarys\include\glm\detail\type_mat4x2.inl                 | C++                |        509 |          9 |         57 |        575 |
| c:\First Person Shooter\Libarys\include\glm\detail\type_mat4x3.hpp                 | C++                |        119 |         11 |         42 |        172 |
| c:\First Person Shooter\Libarys\include\glm\detail\type_mat4x3.inl                 | C++                |        533 |          9 |         57 |        599 |
| c:\First Person Shooter\Libarys\include\glm\detail\type_mat4x4.hpp                 | C++                |        132 |         11 |         47 |        190 |
| c:\First Person Shooter\Libarys\include\glm\detail\type_mat4x4.inl                 | C++                |        598 |         36 |         73 |        707 |
| c:\First Person Shooter\Libarys\include\glm\detail\type_mat4x4_simd.inl            | C++                |          3 |          1 |          3 |          7 |
